No.,Code,H,K,L,Mult,Hw,2theta,Icalc,Iobs,Sigma,HwG,HwL,ETA,d-hkl,CORR
1,1,1,1,1,8,0.074,15.985,20669.4,20669.4,0,0.072573,0.002662,0.048534,3.461792,384.618042
2,1,2,0,0,6,0.073243,18.478,22457,22457,0,0.07159,0.003084,0.056687,2.998,214.420959
3,1,2,2,0,12,0.070949,26.248,17899.6,17899.6,0,0.068582,0.004421,0.083291,2.119906,206.969696
4,1,3,1,1,24,0.069632,30.883,12111.5,12111.5,0,0.066829,0.005237,0.100096,1.807862,293.317505
5,1,2,2,2,8,0.06924,32.293,6673.9,6673.9,0,0.066302,0.005489,0.105357,1.730896,88.86129
6,1,4,0,0,6,0.067841,37.461,3235.4,3235.4,0,0.064398,0.006429,0.125264,1.499,48.335243
7,1,3,3,1,24,0.066931,40.966,5350.7,5350.7,0,0.063135,0.007083,0.139344,1.375577,158.895554
8,1,4,2,0,24,0.066649,42.08,9079.8,9079.8,0,0.062739,0.007294,0.14392,1.340746,149.756256
9,1,4,2,2,24,0.065612,46.318,6723.3,6723.3,0,0.061259,0.008111,0.16178,1.223928,121.01265
10,1,3,3,3,8,0.064919,49.308,996.4,996.4,0,0.060243,0.008703,0.174815,1.153931,35.077824
11,1,5,1,1,24,0.064919,49.308,2989.3,2989.3,0,0.060243,0.008703,0.174815,1.153931,105.233475
12,1,4,4,0,12,0.063906,54.017,2052.1,2052.1,0,0.058701,0.009665,0.196059,1.059953,42.913689
13,1,5,3,1,48,0.063377,56.71,3799.4,3799.4,0,0.057857,0.010233,0.208588,1.013509,154.053604
14,1,4,4,2,24,0.063214,57.589,3333.7,3333.7,0,0.057589,0.010422,0.212735,0.999333,74.449699
15,1,6,0,0,6,0.063214,57.589,833.4,833.4,0,0.057589,0.010422,0.212735,0.999333,18.612425
16,1,6,2,0,24,0.062623,61.025,2762.4,2762.4,0,0.056576,0.011174,0.229192,0.948051,65.571579
17,1,5,3,3,24,0.062246,63.528,1317.4,1317.4,0,0.055881,0.01174,0.24141,0.914381,60.140144
18,1,6,2,2,24,0.062133,64.35,2328.7,2328.7,0,0.055661,0.011929,0.245459,0.903931,58.521824
19,1,4,4,4,8,0.061749,67.585,664.4,664.4,0,0.054843,0.01269,0.261538,0.865448,17.617968
20,1,5,5,1,24,0.061533,69.962,976.1,976.1,0,0.054296,0.013267,0.273462,0.839608,49.320934
21,1,7,1,1,24,0.061533,69.962,976.1,976.1,0,0.054296,0.013267,0.273462,0.839608,49.320934
22,1,6,4,0,24,0.061476,70.746,1729.7,1729.7,0,0.054127,0.013461,0.277408,0.831496,48.259975
23,1,6,4,2,48,0.061323,73.847,3040.5,3040.5,0,0.053519,0.014249,0.293032,0.801249,89.042656
