No.,Code,H,K,L,Mult,Hw,2theta/TOF,L-factor,HWL,HWG,ETA
1,1,1,1,0,4,0.07,21.348,26.5399,0,0.07,0
2,2,1,1,0,4,0.07,21.401,26.4022,0,0.07,0
3,1,2,0,0,2,0.07,23.432,21.8705,0,0.07,0
4,1,-1,1,1,4,0.07,23.475,21.7884,0,0.07,0
5,2,2,0,0,2,0.07,23.492,21.756,0,0.07,0
6,2,-1,1,1,4,0.07,23.534,21.6744,0,0.07,0
7,1,1,1,1,4,0.067,29.48,13.4936,0,0.067,0
8,2,1,1,1,4,0.067,29.555,13.421,0,0.067,0
9,1,-2,0,2,2,0.067,30.581,12.4808,0,0.067,0
10,2,-2,0,2,2,0.067,30.659,12.4133,0,0.067,0
11,1,0,0,2,2,0.066,31.793,11.4857,0,0.066,0
12,2,0,0,2,2,0.066,31.874,11.4232,0,0.066,0
13,1,-1,1,2,4,0.066,34.1,9.8793,0,0.066,0
14,2,-1,1,2,4,0.066,34.187,9.8249,0,0.066,0
15,1,0,2,0,2,0.065,36.096,8.7338,0,0.065,0
16,2,0,2,0,2,0.065,36.189,8.6852,0,0.065,0
17,1,-3,1,1,4,0.065,36.965,8.2934,0,0.065,0
18,2,-3,1,1,4,0.065,37.06,8.2471,0,0.065,0
19,1,0,2,1,4,0.064,39.6,7.1337,0,0.064,0
20,2,0,2,1,4,0.064,39.702,7.0932,0,0.064,0
21,1,3,1,0,4,0.063,39.964,6.9915,0,0.063,0
22,2,3,1,0,4,0.063,40.068,6.9518,0,0.063,0
23,1,-3,1,2,4,0.063,40.84,6.6658,0,0.063,0
24,2,-3,1,2,4,0.063,40.946,6.6278,0,0.063,0
25,1,-2,2,1,4,0.063,42.713,6.0369,0,0.063,0
26,1,1,1,2,4,0.063,42.723,6.0337,0,0.063,0
27,2,-2,2,1,4,0.062,42.825,6.0022,0,0.062,0
28,2,1,1,2,4,0.062,42.835,5.999,0,0.062,0
29,1,2,2,0,4,0.062,43.485,5.8021,0,0.062,0
30,2,2,2,0,4,0.062,43.598,5.7686,0,0.062,0
31,1,-4,0,2,2,0.062,45.015,5.3731,0,0.062,0
32,2,-4,0,2,2,0.062,45.133,5.3419,0,0.062,0
33,1,2,0,2,2,0.061,47.618,4.7401,0,0.061,0
34,2,2,0,2,2,0.061,47.744,4.7123,0,0.061,0
35,1,4,0,0,2,0.061,47.924,4.6729,0,0.061,0
36,1,-2,2,2,4,0.061,48.015,4.6532,0,0.061,0
37,2,4,0,0,2,0.061,48.05,4.6454,0,0.061,0
38,2,-2,2,2,4,0.061,48.141,4.6258,0,0.061,0
39,1,-1,1,3,4,0.061,48.404,4.5698,0,0.061,0
40,2,-1,1,3,4,0.061,48.533,4.5429,0,0.061,0
41,1,3,1,1,4,0.06,48.786,4.4903,0,0.06,0
42,1,0,2,2,4,0.06,48.853,4.4765,0,0.06,0
43,2,3,1,1,4,0.06,48.915,4.4638,0,0.06,0
44,2,0,2,2,4,0.06,48.983,4.4501,0,0.06,0
45,1,2,2,1,4,0.06,50.108,4.2297,0,0.06,0
46,2,2,2,1,4,0.06,50.242,4.2046,0,0.06,0
47,1,-3,1,3,4,0.06,50.278,4.1978,0,0.06,0
48,2,-3,1,3,4,0.06,50.412,4.173,0,0.06,0
49,1,1,3,0,4,0.058,56.808,3.1972,0,0.058,0
50,2,1,3,0,4,0.058,56.962,3.1781,0,0.058,0
51,1,-4,2,1,4,0.058,57.72,3.0866,0,0.058,0
52,1,-1,3,1,4,0.058,57.772,3.0805,0,0.058,0
53,2,-4,2,1,4,0.058,57.877,3.0681,0,0.058,0
54,2,-1,3,1,4,0.057,57.929,3.062,0,0.057,0
55,1,-2,2,3,4,0.057,58.123,3.0396,0,0.057,0
56,2,-2,2,3,4,0.057,58.281,3.0214,0,0.057,0
